GeoFips,GeoName,LineCode,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
48165,"Gaines, TX",6,"    Mining, quarrying, and oil and gas extraction",1061944,1158608,1342131,1647279,2037966,2501705,2888695,3596023,2231785,2623197,3135250,3144743,2950669,2511356,1220778,1066110,1470773,1564050,1197440,508002
48165,"Gaines, TX",10,    Utilities,5188,4318,2881,2863,2879,3159,3655,3573,3616,6855,9337,8888,9422,10544,10290,10221,8665,6892,7170,7885
48165,"Gaines, TX",11,    Construction,19271,20715,24318,24367,26209,33682,37918,38841,54930,63931,83100,119099,115061,125875,114013,120076,135631,165639,198984,178990
48165,"Gaines, TX",12,    Manufacturing,6028,7507,8930,9979,11481,5527,4298,6374,8779,10736,8412,10418,11568,14409,16371,17221,23857,28396,33329,32969
48165,"Gaines, TX",13,      Durable goods manufacturing,(D),(D),(D),(D),7398,1991,2701,3401,(D),(D),(D),(D),8263,10667,11631,10404,17317,20471,23564,22923
48165,"Gaines, TX",25,      Nondurable goods manufacturing,(D),(D),(D),(D),4083,3536,1596,2972,(D),(D),(D),(D),3305,3742,4740,6816,6539,7925,9766,10047
48165,"Gaines, TX",34,    Wholesale trade,13352,15213,29219,34627,43455,29208,35262,43710,45295,58203,69788,81125,66863,64475,65227,54322,50431,54597,56793,47381
48165,"Gaines, TX",35,    Retail trade,23444,24207,28659,34515,36078,36885,33873,33256,40668,46093,45571,54041,50268,52320,51487,58770,47680,39140,42696,42802
48165,"Gaines, TX",36,    Transportation and warehousing,9680,9625,10935,10202,10509,13394,14725,16783,14471,21874,38140,38981,37657,39728,36658,29624,37447,46463,64620,57297
48165,"Gaines, TX",45,    Information,3724,3716,3372,3245,3769,4408,5358,5219,4343,4072,3773,3470,3605,3090,3504,3443,3642,4794,5694,5963
48165,"Gaines, TX",50,"    Finance, insurance, real estate, rental, and leasing",29152,32191,32121,31771,32517,41397,35908,39316,40345,47073,52365,57908,61456,70266,69834,71340,67953,86148,92805,107213
48165,"Gaines, TX",51,      Finance and insurance,9478,10153,10925,10855,10673,10694,10078,11773,13957,15632,16426,16791,15876,16700,17132,18624,20072,22343,23347,23637
48165,"Gaines, TX",56,      Real estate and rental and leasing,19674,22038,21197,20916,21845,30702,25830,27543,26388,31441,35939,41118,45580,53566,52702,52716,47881,63805,69458,83576
48165,"Gaines, TX",59,    Professional and business services,7226,7854,8552,9764,11124,5492,5850,6283,7246,9285,10677,12609,22829,25783,26362,23611,27946,32755,39856,37020
48165,"Gaines, TX",60,"      Professional, scientific, and technical services",(D),(D),(D),(D),(D),(D),(D),5149,(D),5829,6251,6631,7885,9271,10326,8471,8851,11412,17307,14503
48165,"Gaines, TX",64,      Management of companies and enterprises,3658,3947,4021,4857,5992,0,0,(D),(D),(D),(D),(D),(D),(D),(D),11743,13742,15377,16469,15683
48165,"Gaines, TX",65,      Administrative and support and waste management and remediation services,(D),(D),(D),(D),(D),(D),(D),(D),1886,(D),(D),(D),(D),(D),(D),3397,5353,5966,6081,6834
48165,"Gaines, TX",68,"    Educational services, health care, and social assistance",6874,7167,7002,7103,5130,4864,4925,5442,6988,8655,9264,9390,7381,9195,(D),10894,10868,10793,11267,9807
48165,"Gaines, TX",69,      Educational services,122,126,115,60,59,59,118,141,1141,2163,2434,2598,(D),(D),92,(D),(D),(D),415,386
48165,"Gaines, TX",70,      Health care and social assistance,6752,7041,6887,7043,5071,4805,4807,5301,5848,6492,6830,6792,(D),(D),(D),(D),(D),(D),10852,9420
48165,"Gaines, TX",75,"    Arts, entertainment, recreation, accommodation, and food services",4293,4215,4008,3273,3759,4271,4762,6148,7637,7948,7262,8158,9205,13631,(D),17291,18142,18382,18915,17336
48165,"Gaines, TX",76,"      Arts, entertainment, and recreation",(D),(D),183,40,12,0,0,(D),(D),(D),(D),28,(D),(D),(D),107,154,157,(D),(D)
48165,"Gaines, TX",79,      Accommodation and food services,(D),(D),3825,3233,3747,4271,4762,(D),(D),(D),(D),8130,(D),(D),(D),17184,17988,18225,(D),(D)
48165,"Gaines, TX",82,    Other services (except government and government enterprises),9520,10432,9944,10071,11461,13034,13496,13333,13713,15696,16214,18233,19723,21454,20287,20345,20863,23102,26119,24239
48165,"Gaines, TX",83,Government and government enterprises,48658,50873,52986,54477,56673,59987,62507,64963,71143,76410,77067,82854,89097,92041,98309,99971,99414,100547,103809,113358
48165,"Gaines, TX",,Addenda:,,,,,,,,,,,,,,,,,,,,
48165,"Gaines, TX",87,Natural resources and mining,1162587,1287109,1492083,1800158,2193812,2619919,2981434,3641560,2293600,2834730,3169668,3187985,3217261,2575788,1321849,1127619,1644117,1667992,1348493,689714
48165,"Gaines, TX",88,Trade,36796,39420,57879,69142,79533,66093,69135,76966,85964,104296,115360,135166,117132,116795,116714,113091,98111,93737,99489,90184
48165,"Gaines, TX",89,Transportation and utilities,14869,13943,13816,13065,13388,16553,18380,20356,18087,28729,47477,47868,47079,50272,46948,39845,46112,53355,71790,65182
48165,"Gaines, TX",90,Manufacturing and information,9752,11222,12302,13224,15250,9935,9656,11593,13122,14808,12185,13887,15173,17499,19875,20664,27499,33190,39024,38932
48165,"Gaines, TX",91,Private goods-producing industries 2/,1187886,1315331,1525330,1834504,2231502,2659128,3023649,3686774,2357309,2909397,3261180,3317502,3343890,2716072,1452234,1264916,1803604,1862027,1580807,901673
48165,"Gaines, TX",92,Private services-providing industries 3/,112453,118938,136694,147434,160681,156112,157815,173063,184323,225755,262391,292803,288410,310486,310398,299862,293637,323067,365935,356943
48445,"Terry, TX",1,All industry total,359453,386911,451560,522493,607825,647865,760779,845623,681169,874989,843836,886120,966308,776302,561366,511122,642227,639036,590704,468223
48445,"Terry, TX",2,  Private industries,311705,337766,401700,470707,554912,594004,704548,788036,620854,811588,779798,820097,897749,704670,489014,436696,568965,564848,516260,390489
48445,"Terry, TX",3,"    Agriculture, forestry, fishing and hunting",43624,61139,91850,114675,112964,61046,101081,12165,44837,110819,10090,33663,120200,11047,42245,11398,76964,(D),94192,97987
48445,"Terry, TX",6,"    Mining, quarrying, and oil and gas extraction",160783,166545,186312,220457,290063,374119,438964,616754,405508,510695,575147,577398,572541,479124,236886,213755,287824,294651,205926,68004
48445,"Terry, TX",10,    Utilities,1072,1166,1088,1104,1049,1247,1208,1286,1187,1253,1320,1223,1284,1312,1084,1189,1193,1241,1319,1530
48445,"Terry, TX",11,    Construction,4393,4795,6402,5937,7237,5964,5726,5828,7883,9646,11816,13669,12290,12335,12381,11190,10405,10768,11375,12340
48445,"Terry, TX",12,    Manufacturing,3123,3413,4572,9278,10144,13946,15117,16737,15299,13992,15972,16239,15590,14147,16374,19564,21785,23897,25855,27708
48445,"Terry, TX",13,      Durable goods manufacturing,(D),(D),1310,1802,(D),(D),(D),(D),(D),(D),(D),(D),5079,5290,4954,4470,5350,5459,5219,5254
48445,"Terry, TX",25,      Nondurable goods manufacturing,(D),(D),3262,7476,(D),(D),(D),(D),(D),(D),(D),(D),10510,8857,11420,15093,16435,18438,20636,22454
48445,"Terry, TX",34,    Wholesale trade,13345,14775,14432,16050,18702,20350,22448,23093,22524,26017,28706,31235,30339,30869,28840,27848,26381,25444,24673,23993
48445,"Terry, TX",35,    Retail trade,21586,22529,25240,29660,38876,41783,37739,38166,48347,59947,51435,53725,53581,54258,48725,43945,36107,33076,29440,29504
48445,"Terry, TX",36,    Transportation and warehousing,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
48445,"Terry, TX",45,    Information,(D),(D),(D),(D),(D),3784,7683,6190,4521,3083,3041,5143,6585,5737,5735,4542,4089,3736,(D),(D)
48445,"Terry, TX",50,"    Finance, insurance, real estate, rental, and leasing",30685,32247,31360,29678,30417,30785,32566,29198,32937,37367,35081,38017,37217,42718,41836,45115,46502,55652,(D),59943
48445,"Terry, TX",51,      Finance and insurance,11184,11470,10605,9138,9110,8620,7673,7883,9511,10437,11427,11404,(D),10663,(D),(D),(D),13689,(D),(D)
