Region,Year,Use,Type,Type_Category,Source,Volume,First Decade Cost,Last Decade Cost,2022_Cost
O,2011,Mun,Develop GW,Groundwater,GW,693,292,,403
O,2011,Mun,Develop GW,Groundwater,GW,1154,124,,171
O,2011,Mun,Develop GW,Groundwater,GW,501,255,,352
O,2011,Mun,Water_purchase,SW contract,SW,494,282,,389
K,2016,Min,ASR,ASR,GW,100,1291,,1640
K,2016,Irr,Austin_return_flows,Return_flows,SW,13000,0,,0
K,2016,Irr,Austin_return_flows,Return_flows,SW,7546,0,,0
F,2016,Power_Steam_Elec,Alternative_cooling,Conservation,Conservation,401,7409,5507,9409
F,2016,Power_Steam_Elec,Alternative_cooling,Conservation,Conservation,8604,836,541,1062
F,2016,Irr,Conservation,Conservation,Conservation,3726,22,0,28
F,2016,Irr,Conservation,Conservation,Conservation,399,22,0,28
F,2016,Irr,Conservation,Conservation,Conservation,750,22,0,28
F,2016,Irr,Conservation,Conservation,Conservation,115,22,0,28
F,2016,Irr,Conservation,Conservation,Conservation,77,22,0,28
F,2016,Irr,Conservation,Conservation,Conservation,1062,22,0,28
F,2016,Irr,Conservation,Conservation,Conservation,210,22,0,28
F,2016,Irr,Conservation,Conservation,Conservation,2232,22,0,28
F,2016,Irr,Conservation,Conservation,Conservation,722,22,0,28
F,2016,Irr,Conservation,Conservation,Conservation,210,22,0,28
F,2016,Irr,Conservation,Conservation,Conservation,326,22,0,28
F,2016,Irr,Conservation,Conservation,Conservation,524,22,0,28
F,2016,Irr,Conservation,Conservation,Conservation,5254,22,0,28
F,2016,Irr,Conservation,Conservation,Conservation,1208,22,0,28
F,2016,Irr,Conservation,Conservation,Conservation,377,22,0,28
F,2016,Irr,Conservation,Conservation,Conservation,4913,22,0,28
F,2016,Irr,Conservation,Conservation,Conservation,228,22,0,28
F,2016,Irr,Conservation,Conservation,Conservation,2773,22,0,28
F,2016,Irr,Conservation,Conservation,Conservation,477,22,0,28
F,2016,Irr,Conservation,Conservation,Conservation,81,22,0,28
F,2016,Irr,Conservation,Conservation,Conservation,885,22,0,28
F,2016,Irr,Conservation,Conservation,Conservation,135,22,0,28
F,2016,Irr,Conservation,Conservation,Conservation,260,22,0,28
F,2016,Irr,Conservation,Conservation,Conservation,11175,22,0,28
F,2016,Irr,Conservation,Conservation,Conservation,1380,22,0,28
F,2016,Mun,Additional treatment,Treatment,Treatment,3177,651,195,827
F,2016,Mun,Additional treatment,Treatment,Treatment,610,3013,246,3827
F,2016,Mun,Additional treatment,Treatment,Treatment,504,1603,480,2036
F,2016,Mun,Additional treatment,Treatment,Treatment,680,240,141,305
F,2016,Mun,Additional treatment,Treatment,Treatment,7500,1078,383,1369
F,2016,Mun,ASR,ASR,GW,5000,651,480,827
F,2016,Mun,Brush control,Brush control,Brush control,2240,100,100,127
F,2016,Mun,Brush control,Brush control,Brush control,20257,857,857,1088
F,2016,Mun,Conservation,Conservation,Conservation,136,533,423,677
F,2016,Mun,Conservation,Conservation,Conservation,4,1196,1183,1519
F,2016,Mun,Conservation,Conservation,Conservation,9,776,769,986
F,2016,Mun,Conservation,Conservation,Conservation,45,398,388,505
F,2016,Mun,Conservation,Conservation,Conservation,129,448,522,569
F,2016,Mun,Conservation,Conservation,Conservation,19,636,632,808
F,2016,Mun,Conservation,Conservation,Conservation,16,661,657,839
F,2016,Mun,Conservation,Conservation,Conservation,6,909,900,1154
F,2016,Mun,Conservation,Conservation,Conservation,26,602,600,765
F,2016,Mun,Conservation,Conservation,Conservation,16,959,959,1218
F,2016,Mun,Conservation,Conservation,Conservation,6,938,938,1191
F,2016,Mun,Conservation,Conservation,Conservation,27,597,595,758
F,2016,Mun,Conservation,Conservation,Conservation,16,658,656,836
F,2016,Mun,Conservation,Conservation,Conservation,23,628,600,798
F,2016,Mun,Conservation,Conservation,Conservation,23,620,607,787
F,2016,Mun,Conservation,Conservation,Conservation,102,533,470,677
F,2016,Mun,Conservation,Conservation,Conservation,21,656,591,833
F,2016,Mun,Conservation,Conservation,Conservation,924,316,309,401
F,2016,Mun,Conservation,Conservation,Conservation,193,399,444,507
F,2016,Mun,Conservation,Conservation,Conservation,5,1027,996,1304
F,2016,Mun,Conservation,Conservation,Conservation,5,1058,1052,1344
F,2016,Mun,Conservation,Conservation,Conservation,46,676,674,859
F,2016,Mun,Conservation,Conservation,Conservation,18,664,625,843
F,2016,Mun,Conservation,Conservation,Conservation,12,719,719,913
F,2016,Mun,Conservation,Conservation,Conservation,33,555,523,705
F,2016,Mun,Conservation,Conservation,Conservation,3,1286,1239,1633
F,2016,Mun,Conservation,Conservation,Conservation,25,607,596,771
F,2016,Mun,Conservation,Conservation,Conservation,14,692,679,879
F,2016,Mun,Conservation,Conservation,Conservation,25,813,813,1033
F,2016,Mun,Conservation,Conservation,Conservation,973,313,309,398
F,2016,Mun,Conservation,Conservation,Conservation,183,398,371,505
F,2016,Mun,Conservation,Conservation,Conservation,32,593,535,753
F,2016,Mun,Conservation,Conservation,Conservation,4,1231,1172,1563
F,2016,Mun,Conservation,Conservation,Conservation,28,597,589,758
F,2016,Mun,Conservation,Conservation,Conservation,57,352,265,447
F,2016,Mun,Conservation,Conservation,Conservation,8,842,758,1069
F,2016,Mun,Conservation,Conservation,Conservation,22,635,602,806
F,2016,Mun,Conservation,Conservation,Conservation,22,638,605,810
F,2016,Mun,Conservation,Conservation,Conservation,12,728,687,925
F,2016,Mun,Conservation,Conservation,Conservation,59,332,272,422
F,2016,Mun,Conservation,Conservation,Conservation,21,634,611,805
F,2016,Mun,Conservation,Conservation,Conservation,58,621,618,789
F,2016,Mun,Conservation,Conservation,Conservation,6,977,911,1241
F,2016,Mun,Conservation,Conservation,Conservation,15,676,672,859
F,2016,Mun,Conservation,Conservation,Conservation,11,736,736,935
F,2016,Mun,Conservation,Conservation,Conservation,93,536,509,681
F,2016,Mun,Conservation,Conservation,Conservation,5,986,963,1252
F,2016,Mun,Conservation,Conservation,Conservation,20,640,623,813
F,2016,Mun,Conservation,Conservation,Conservation,37,523,427,664
F,2016,Mun,Conservation,Conservation,Conservation,793,319,317,405
F,2016,Mun,Conservation,Conservation,Conservation,13,723,686,918
F,2016,Mun,Conservation,Conservation,Conservation,5,1036,948,1316
F,2016,Mun,Conservation,Conservation,Conservation,45,428,362,544
F,2016,Mun,Conservation,Conservation,Conservation,24,617,599,784
F,2016,Mun,Conservation,Conservation,Conservation,32,552,524,701
F,2016,Mun,Conservation,Conservation,Conservation,12,892,629,1133
F,2016,Mun,Conservation,Conservation,Conservation,7,932,811,1184
F,2016,Mun,Desal,Desal,Treatment,3360,1844,977,2342
F,2016,Mun,Desal,Desal,Treatment,3750,2142,703,2720
F,2016,Mun,Develop GW,Groundwater,GW,150,4673,1813,5935
F,2016,Mun,Develop GW,Groundwater,GW,250,1636,224,2078
F,2016,Mun,Develop GW,Groundwater,GW,500,696,108,884
F,2016,Mun,Develop GW,Groundwater,GW,78,8885,1000,11284
F,2016,Mun,Develop GW,Groundwater,GW,220,1655,305,2102
F,2016,Mun,Develop GW,Groundwater,GW,500,1366,342,1735
F,2016,Mun,Develop GW,Groundwater,GW,1000,5837,590,7413
F,2016,Mun,Expand GW,Groundwater,GW,10000,869,432,1104
K,2016,Irr,Conservation,Conservation,Conservation,6049,162,,206
K,2016,Irr,Conservation,Conservation,Conservation,19741,162,,206
K,2016,Irr,Conservation,Conservation,Conservation,12211,162,,206
K,2016,Irr,Conservation,Conservation,Conservation,41338,76,,97
K,2016,Irr,Conservation,Conservation,Conservation,8429,423,,537
F,2016,Mun,Infrastructure,Infrastructure,Infrastructure ,412,867,0,1101
F,2016,Mun,Infrastructure,Infrastructure,Infrastructure ,104,1370,164,1740
F,2016,Mun,Reuse,Reuse,Reuse,25,1560,160,1981
F,2016,Mun,Reuse,Reuse,Reuse,841,1541,696,1957
F,2016,Mun,Reuse,Reuse,Reuse,50,902,89,1146
F,2016,Mun,Reuse,Reuse,Reuse,67,1775,165,2254
F,2016,Mun,Reuse,Reuse,Reuse,62,748,79,950
F,2016,Mun,Reuse,Reuse,Reuse,83,5091,1685,6466
F,2016,Mun,Reuse,Reuse,Reuse,7000,2826,1033,3589
F,2016,Mun,Subordination,Subordination,SW,400,0,0,nan
F,2016,Mun,Subordination,Subordination,SW,6,0,0,nan
F,2016,Mun,Subordination,Subordination,SW,2102,0,0,nan
F,2016,Mun,Subordination,Subordination,SW,214,0,0,nan
F,2016,Mun,Subordination,Subordination,SW,11671,0,0,nan
F,2016,Mun,Subordination,Subordination,SW,3677,0,0,nan
F,2016,Mun,Subordination,Subordination,SW,412,0,0,nan
F,2016,Mun,Subordination,Subordination,SW,253,0,0,nan
F,2016,Mun,Subordination,Subordination,SW,1892,0,0,nan
F,2016,Mun,Subordination,Subordination,SW,517,0,0,nan
F,2016,Mun,Subordination,Subordination,SW,8527,0,0,nan
F,2016,Mun,Subordination,Subordination,SW,752,0,0,nan
F,2016,Mun,Subordination,Subordination,SW,112,0,0,nan
F,2016,Mun,Subordination,Subordination,SW,186,0,0,nan
F,2016,Mun,Subordination,Subordination,SW,1268,0,0,nan
F,2016,Mun,Subordination,Subordination,SW,3271,0,0,nan
F,2016,Mun,Subordination,Subordination,SW,6981,0,0,nan
F,2016,Mun,Subordination,Subordination,SW,5527,0,0,nan
F,2016,Mun,Voluntary_trans,Voluntary transfer,SW,20,458,0,582
F,2016,Mun,Voluntary_trans,Voluntary transfer,SW,178,652,652,828
F,2016,Mun,Voluntary_trans,Voluntary transfer,SW,480,1054,738,1339
F,2016,Mun,Voluntary_trans,Voluntary transfer,SW,35,1543,714,1960
F,2016,Mun,Voluntary_trans,Voluntary transfer,SW,920,4848,868,6157
F,2016,Mun,Voluntary_trans,Voluntary transfer,SW,100,950,370,1207
F,2016,Mun,Voluntary_trans,Voluntary transfer,SW,4000,1256,710,1595
F,2016,Mun,Voluntary_trans,Voluntary transfer,SW,4000,652,652,828
F,2016,Mun,Voluntary_trans,Voluntary transfer,SW,150,500,0,635
F,2016,Mun,Voluntary_trans,Voluntary transfer,SW,210,652,652,828
F,2016,Mun,Voluntary_trans,Voluntary transfer,SW,404,6116,722,7767
F,2016,Mun,Voluntary_trans,Voluntary transfer,SW,404,6116,722,7767
F,2016,Power_Steam_Elec,Alternative_cooling,Conservation,Conservation,837,1623,622,2061
K,2016,Power_Steam_Elec,Austin_return_flows,Return_flows,SW,763,0,,0
K,2016,Power_Steam_Elec,Blend brakish water ,Blend brakish water ,SW,3000,0,,0
O,2016,Irr,Conservation,Conservation,Conservation,2977,42,,53
O,2016,Irr,Conservation,Conservation,Conservation,9610,32,,41
O,2016,Irr,Conservation,Conservation,Conservation,12306,42,,53
O,2016,Irr,Conservation,Conservation,Conservation,8259,42,,53
O,2016,Irr,Conservation,Conservation,Conservation,3048,42,,53
