Program,Year,Period,Geo Level,State,Ag District,Ag District Code,County,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2021,YEAR,COUNTY,TEXAS,UPPER COAST,90,WHARTON,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,1732000,11
SURVEY,2021,YEAR,COUNTY,TEXAS,UPPER COAST,90,WHARTON,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,66.1,6.9
SURVEY,2021,YEAR,COUNTY,TEXAS,UPPER COAST,90,WHARTON,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,6380,1.4
SURVEY,2021,YEAR,COUNTY,TEXAS,UPPER COAST,90,WHARTON,SOYBEANS,SOYBEANS - ACRES PLANTED,TOTAL,NOT SPECIFIED,6600,0.9
SURVEY,2021,YEAR,COUNTY,TEXAS,UPPER COAST,90,WHARTON,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,323000,12.3
SURVEY,2021,YEAR,COUNTY,TEXAS,UPPER COAST,90,WHARTON,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,50.6,12.2
SURVEY,2020,YEAR,COUNTY,TEXAS,EDWARDS PLATEAU,70,GILLESPIE,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,1700,0.2
SURVEY,2020,YEAR,COUNTY,TEXAS,EDWARDS PLATEAU,70,GILLESPIE,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1450,6.3
SURVEY,2020,YEAR,COUNTY,TEXAS,EDWARDS PLATEAU,70,GILLESPIE,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,117700,6.9
SURVEY,2020,YEAR,COUNTY,TEXAS,EDWARDS PLATEAU,70,GILLESPIE,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,81.2,2.7
SURVEY,2020,YEAR,COUNTY,TEXAS,EDWARDS PLATEAU,70,GILLESPIE,OATS,OATS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,1040,38.8
SURVEY,2020,YEAR,COUNTY,TEXAS,EDWARDS PLATEAU,70,GILLESPIE,OATS,OATS - ACRES PLANTED,TOTAL,NOT SPECIFIED,3500,0.1
SURVEY,2020,YEAR,COUNTY,TEXAS,EDWARDS PLATEAU,70,GILLESPIE,OATS,"OATS - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,52500,40.1
SURVEY,2020,YEAR,COUNTY,TEXAS,EDWARDS PLATEAU,70,GILLESPIE,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,50.5,6.3
SURVEY,2020,YEAR,COUNTY,TEXAS,EDWARDS PLATEAU,70,GILLESPIE,SORGHUM,SORGHUM - ACRES PLANTED,TOTAL,NOT SPECIFIED,500,0.2
SURVEY,2020,YEAR,COUNTY,TEXAS,EDWARDS PLATEAU,70,GILLESPIE,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,480,13.5
SURVEY,2020,YEAR,COUNTY,TEXAS,EDWARDS PLATEAU,70,GILLESPIE,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,27600,15.2
SURVEY,2020,YEAR,COUNTY,TEXAS,EDWARDS PLATEAU,70,GILLESPIE,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,57.5,6.9
SURVEY,2020,YEAR,COUNTY,TEXAS,EDWARDS PLATEAU,70,GILLESPIE,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1370,34
SURVEY,2020,YEAR,COUNTY,TEXAS,EDWARDS PLATEAU,70,GILLESPIE,WHEAT,"WHEAT, WINTER - ACRES PLANTED",TOTAL,NOT SPECIFIED,3000,0.1
SURVEY,2020,YEAR,COUNTY,TEXAS,EDWARDS PLATEAU,70,GILLESPIE,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,48500,35.5
SURVEY,2020,YEAR,COUNTY,TEXAS,EDWARDS PLATEAU,70,GILLESPIE,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,35.4,10.2
SURVEY,2020,YEAR,COUNTY,TEXAS,EDWARDS PLATEAU,70,SAN SABA,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",TOTAL,NOT SPECIFIED,6320,41.8
SURVEY,2020,YEAR,COUNTY,TEXAS,EDWARDS PLATEAU,70,SAN SABA,WHEAT,"WHEAT, WINTER - ACRES PLANTED",TOTAL,NOT SPECIFIED,16900,0.1
SURVEY,2020,YEAR,COUNTY,TEXAS,EDWARDS PLATEAU,70,SAN SABA,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,216000,43.5
SURVEY,2020,YEAR,COUNTY,TEXAS,EDWARDS PLATEAU,70,SAN SABA,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,34.2,11.4
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,COLORADO,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,11200,0.1
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,COLORADO,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,9700,6.6
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,COLORADO,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,1266000,10
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,COLORADO,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,130.5,7.4
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,COLORADO,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,2440,4.1
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,COLORADO,COTTON,"COTTON, UPLAND - ACRES PLANTED",TOTAL,NOT SPECIFIED,5600,4.1
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,COLORADO,COTTON,"COTTON, UPLAND - PRODUCTION, MEASURED IN 480 LB BALES",TOTAL,NOT SPECIFIED,5560,7.2
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,COLORADO,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,1094,7.2
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,COLORADO,RICE,RICE - ACRES HARVESTED,TOTAL,NOT SPECIFIED,29900,5
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,COLORADO,RICE,RICE - ACRES PLANTED,TOTAL,NOT SPECIFIED,31100,2.1
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,COLORADO,RICE,"RICE - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,2903000,8.2
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,COLORADO,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,9710,8.2
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,FAYETTE,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,7900,0.1
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,FAYETTE,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,6800,7.2
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,FAYETTE,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,618000,12.9
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,FAYETTE,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,90.9,10.7
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,HAYS,CORN,CORN - ACRES PLANTED,TOTAL,NOT SPECIFIED,3900,0.1
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,HAYS,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,3300,7.2
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,HAYS,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,361000,13.9
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,HAYS,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,109.4,11.9
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,HAYS,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,2480,23.1
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,HAYS,COTTON,"COTTON, UPLAND - ACRES PLANTED",TOTAL,NOT SPECIFIED,2500,23.2
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,HAYS,COTTON,"COTTON, UPLAND - PRODUCTION, MEASURED IN 480 LB BALES",TOTAL,NOT SPECIFIED,3300,25.1
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,HAYS,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,639,25.1
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,HAYS,SORGHUM,SORGHUM - ACRES PLANTED,TOTAL,NOT SPECIFIED,700,0.1
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,HAYS,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,580,13.1
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,HAYS,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,32800,38.8
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,HAYS,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,56.6,36.1
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,HAYS,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",TOTAL,NOT SPECIFIED,600,12.4
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,HAYS,WHEAT,"WHEAT, WINTER - ACRES PLANTED",TOTAL,NOT SPECIFIED,600,0.5
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,HAYS,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,23100,12.7
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,HAYS,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,38.5,2.9
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,TRAVIS,COTTON,"COTTON, UPLAND - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1780,26.6
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,TRAVIS,COTTON,"COTTON, UPLAND - ACRES PLANTED",TOTAL,NOT SPECIFIED,1800,26.8
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,TRAVIS,COTTON,"COTTON, UPLAND - PRODUCTION, MEASURED IN 480 LB BALES",TOTAL,NOT SPECIFIED,2100,28.4
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,TRAVIS,COTTON,"COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,566,28.4
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,TRAVIS,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",TOTAL,NOT SPECIFIED,960,23
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,TRAVIS,WHEAT,"WHEAT, WINTER - ACRES PLANTED",TOTAL,NOT SPECIFIED,1900,0.1
SURVEY,2020,YEAR,COUNTY,TEXAS,SOUTH CENTRAL,81,TRAVIS,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,32600,23.3
